prenom;nom;naissance;genre;adresse;courriel
Sophia;Walker;1985-05-11;F;60 Grand Marais Ave, Victoria, Northwest Territories, I6L 0Y7;sophia.walker@example.com
Maeva;Bergeron;1986-10-27;F;2194 9th St, Belmont, Newfoundland and Labrador, W2H 7V3;maeva.bergeron@example.com
Dylan;Ginnish;1948-06-21;H;7107 College Ave, Field, Northwest Territories, G6I 5M7;dylan.ginnish@example.com
Olivier;Gill;1967-01-07;H;9351 Peel St, Melbourne, Manitoba, P1W 5L8;olivier.gill@example.com
Charlotte;Bergeron;1951-03-06;F;5474 St. Lawrence Ave, Fauquier, Northwest Territories, B2B 5L6;charlotte.bergeron@example.com
David;Côté;2000-11-19;H;6246 Vimy St, Killarney, Nova Scotia, M0L 4M8;david.cote@example.com
Hannah;Mackay;1948-09-27;F;1311 Dundas Rd, South River, Québec, S6R 2R8;hannah.mackay@example.com
Matthew;Ambrose;1961-03-20;H;8434 Duke St, Souris, Manitoba, C2N 9P6;matthew.ambrose@example.com
Alicia;Ennis;1998-09-27;F;9940 Elgin St, Red Rock, Manitoba, O1M 9E7;alicia.ennis@example.com
Zoe;Côté;1989-01-16;F;1218 Brock Rd, Souris, Alberta, J6H 7U6;zoe.cote@example.com
Sophia;Fortin;1993-11-26;F;8976 20th Ave, Deer Lake, Prince Edward Island, L4P 6X0;sophia.fortin@example.com
Maya;Claire;1976-06-18;F;4432 15th St, Chelsea, Manitoba, D5W 6V6;maya.claire@example.com
Jacob;Ouellet;1963-04-06;H;327 Lake of Bays Road, Lasalle, Prince Edward Island, H4O 7X6;jacob.ouellet@example.com
Alexis;Fortin;1954-05-07;F;3150 Grand Ave, Lafontaine, Prince Edward Island, X6X 1K8;alexis.fortin@example.com
Tristan;Gagné;2000-07-07;H;2426 Park Rd, Stirling, British Columbia, O2U 7Z4;tristan.gagne@example.com
Thomas;Ma;1969-05-20;H;6993 Elgin St, Elgin, Ontario, I8C 3R8;thomas.ma@example.com
Leo;Roy;1989-05-10;H;5271 Queen St, Red Rock, British Columbia, R3C 3U8;leo.roy@example.com
Thomas;Ross;1959-07-01;H;6315 Alfred St, Cochrane, Québec, G8B 5L2;thomas.ross@example.com
Zackary;Scott;1965-07-26;H;9476 Dufferin St, Alma, Ontario, L0W 3N8;zackary.scott@example.com
Sophia;Ambrose;1994-09-25;F;7812 Brock Rd, Shelbourne, New Brunswick, T1Z 3P2;sophia.ambrose@example.com
Emile;Lam;1994-01-30;H;7795 St. Catherine St, Inverness, Alberta, Y7L 0A4;emile.lam@example.com
